short_name,age,overall,potential,player_positions,club_name,position_group
M. Mount,21,80,87,"CAM, CM, LW",Chelsea,Midfielder
Matheus Cunha,21,78,87,"CAM, ST, LM",Hertha BSC,Midfielder
O. Kabak,20,77,87,CB,FC Schalke 04,Defender
D. Kulusevski,20,77,87,"RW, CAM",Juventus,Midfielder
K. Adeyemi,18,69,87,"ST, LW",FC Red Bull Salzburg,Forward
Joelson Fernandes,17,69,87,"RW, LW",Sporting CP,Forward
M. Vandevoordt,18,68,87,GK,KRC Genk,Goalkeeper
L. Pellegrini,21,72,86,LB,Juventus,Defender
Gustavo Assunção,20,74,86,CDM,Famalicão,Midfielder
Rafael Camacho,20,73,86,RW,Sporting CP,Forward
M. Solomon,20,73,86,"RM, LM, CAM",Shakhtar Donetsk,Midfielder
L. Netz,17,63,86,"LB, LM",Hertha BSC,Defender
Dodô,21,72,86,RB,Shakhtar Donetsk,Defender
R. Aït Nouri,19,71,86,LB,Angers SCO,Defender
B. Gilmour,19,71,86,"CM, CAM",Chelsea,Midfielder
Eduardo Quaresma,18,72,86,CB,Sporting CP,Defender
A. Vranckx,17,66,86,"CM, CDM",KV Mechelen,Midfielder
J. Gvardiol,18,69,86,"CB, LB",Dinamo Zagreb,Defender
N. Madueke,18,70,86,"RM, ST",PSV,Midfielder
S. Esposito,17,66,86,ST,Inter,Forward
L. Stergiou,18,67,86,CB,FC St. Gallen,Defender
J. Frimpong,19,70,86,"RB, RWB",Celtic,Defender
D. Caicedo,20,68,86,RM,Deportivo Cali,Midfielder
G. Tsitaishvili,19,72,86,"RM, LM",Dynamo Kyiv,Midfielder
B. Arrey-Mbi,17,60,86,"CB, LB",Bayern München II,Defender
G. Plata,19,74,86,RW,Sporting CP,Forward
S. Dest,19,75,86,RB,Ajax,Defender
N. Zaniolo,20,76,86,"CAM, RM",Roma,Midfielder
S. Chukwueze,21,77,86,RM,Villarreal CF,Midfielder
R. James,20,77,86,"RB, CDM",Chelsea,Defender
O. Wijndal,20,77,86,LB,AZ Alkmaar,Defender
R. Sessegnon,20,75,86,"LM, LW, LB",Tottenham Hotspur,Defender
M. Guendouzi,21,77,86,"CDM, CM",Arsenal,Midfielder
E. Palacios,21,77,86,"CM, RM, CAM",Bayer 04 Leverkusen,Midfielder
D. McNeil,20,78,86,LM,Burnley,Midfielder
C. Stengs,21,78,86,RW,AZ Alkmaar,Forward
J. Koundé,21,79,86,CB,Sevilla FC,Defender
J. Todibo,20,75,86,CB,FC Barcelona,Defender
Tete,20,75,86,"RM, CAM",Shakhtar Donetsk,Midfielder
Florentino,20,76,86,"CDM, CM",SL Benfica,Midfielder
D. Zagadou,21,79,86,CB,Borussia Dortmund,Defender
D. Rice,21,79,86,"CDM, CM",West Ham United,Midfielder
A. Isak,20,79,86,ST,Real Sociedad,Forward
Brahim,20,74,86,"LW, RW",Milan,Forward
C. Hudson-Odoi,19,74,86,"RW, LW",Chelsea,Forward
M. Daramy,18,67,85,"RM, ST, LM",FC København,Midfielder
J. Vagnoman,19,69,85,"RB, LM, LB",Hamburger SV,Defender
O. Rekik,18,63,85,CB,Hertha BSC,Defender
Nuno Mendes,18,70,85,"LB, LM, LWB",Sporting CP,Defender
K. Diatta,21,77,85,"RM, LM, ST",Club Brugge KV,Midfielder
Y. Demir,17,64,85,"CAM, RW",SK Rapid Wien,Midfielder
M. Kana,17,65,85,"CB, CDM, CM",RSC Anderlecht,Defender
E. Smith Rowe,19,69,85,"CAM, RM, RW",Arsenal,Midfielder
Gustavo Maia,19,69,85,"LW, RW, CF",FC Barcelona,Forward
Fábio Silva,17,69,85,ST,Wolverhampton Wanderers,Forward
C. Tzolis,18,67,85,"RW, LW, ST",PAOK,Forward
H. Elliott,17,65,85,RW,Liverpool,Forward
D. Malen,21,78,85,ST,PSV,Forward
T. Parrott,18,65,85,ST,Millwall,Forward
X. Simons,17,65,85,CM,Paris Saint-Germain,Midfielder
R. Matondo,19,70,85,"LM, ST, RM",FC Schalke 04,Midfielder
N. Williams,19,67,85,RB,Liverpool,Defender
P. De la Vega,19,71,85,"RW, LW",Club Atlético Lanús,Forward
T. Kouassi,18,71,85,"CB, CDM",FC Bayern München,Defender
E. Barco,21,74,85,"LW, CF",Atlanta United,Forward
N. Bustos,21,74,85,ST,Club Atlético Talleres,Forward
Paulinho,19,74,85,"CAM, RM",Bayer 04 Leverkusen,Midfielder
B. Mbeumo,20,74,85,"RW, ST",Brentford,Forward
Gabriel Martinelli,19,74,85,"LW, LM, ST",Arsenal,Midfielder
M. Kumbulla,20,75,85,CB,Roma,Defender
M. Kudus,19,75,85,"CAM, CM",Ajax,Midfielder
B. Williams,19,75,85,"LB, LWB",Manchester United,Defender
Tomás Tavares,19,73,85,RB,SL Benfica,Defender
Romário Baró,20,73,85,"RM, CAM",FC Porto,Midfielder
O. Kökçü,19,75,85,"CAM, CM",Feyenoord,Midfielder
A. Mac Allister,21,75,85,"CAM, CM",Brighton & Hove Albion,Midfielder
Jota,21,72,85,"LM, RM",SL Benfica,Midfielder
M. Longstaff,20,72,85,"CM, CDM",Newcastle United,Midfielder
Eric García,19,72,85,CB,Manchester City,Defender
Y. Verschaeren,18,72,85,"CAM, RW, LW",RSC Anderlecht,Midfielder
Marcos Antonio,20,72,85,CM,Shakhtar Donetsk,Midfielder
Nuno Tavares,20,72,85,LB,SL Benfica,Defender
S. Rodríguez,20,72,85,"RW, RM, CAM",Nacional de Montevideo,Midfielder
L. Fernández,21,76,85,CAM,Tigres U.A.N.L.,Midfielder
P. Daka,21,76,85,ST,FC Red Bull Salzburg,Forward
B. Soumaré,21,76,85,"CDM, CM",LOSC Lille,Midfielder
Diogo Dalot,21,76,85,"RB, LB",Manchester United,Defender
T. Adams,21,76,85,"CDM, RWB",RB Leipzig,Defender
J. Willock,20,71,85,"CAM, CM",Arsenal,Midfielder
H. Traorè,20,71,85,"CAM, CM",Sassuolo,Midfielder
N. Pérez,20,75,85,CB,Atlético Madrid,Defender
